,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
93,93,F29507,2385.0,E,4.0,2019-09-13 14:01:27.000,2019-09-13,2019-09-13 00:00:00,2019-10-13,,1764.0956,0.0,0.0
124,124,F29538,941.0,E,4.0,2019-09-18 12:08:08.000,2019-09-18,2019-09-18 00:00:00,2019-10-18,,2602.5,0.0,0.0
139,139,F29553,3930.0,E,4.0,2019-09-19 12:16:04.000,2019-09-19,2019-09-10 00:00:00,2019-10-19,,48480.00000000001,0.0,0.0
150,150,F29564,941.0,E,4.0,2019-09-19 16:09:20.000,2019-09-19,2019-09-13 00:00:00,2019-10-19,,1940.0,0.0,0.0
172,172,F29586,5930.0,E,4.0,2019-09-20 14:45:31.000,2019-09-20,2019-09-20 00:00:00,2019-11-24,,14240.000000000002,0.0,0.0
184,184,F29598,6059.0,E,4.0,2019-09-23 09:10:27.000,2019-09-23,2019-09-23 00:00:00,2019-09-23,,3426.7500000000005,0.0,0.0
193,193,F29607,161.0,C,4.0,2019-09-23 11:35:48.000,2019-09-23,2019-09-20 00:00:00,2019-10-23,2019-09-23,1054.0,0.0,0.0
194,194,F29608,161.0,E,4.0,2019-09-23 11:38:38.000,2019-09-23,2019-09-20 00:00:00,2019-10-23,,1054.0,0.0,0.0
207,207,F29621,161.0,E,4.0,2019-09-23 17:11:33.000,2019-09-23,,2019-10-23,,1230.0,0.0,0.0
217,217,F29631,6849.0,E,4.0,2019-09-24 14:52:37.000,2019-09-24,2019-09-24 00:00:00,2019-09-24,,36.0,0.0,0.0
228,228,F29642,2385.0,E,4.0,2019-09-25 11:23:12.000,2019-09-25,2019-09-25 00:00:00,2019-10-25,,6000.000000000001,0.0,0.0
239,239,F29653,5046.0,E,4.0,2019-09-26 11:52:46.000,2019-09-26,2019-09-26 00:00:00,2019-09-26,,560.0,0.0,0.0
275,275,F29689,3545.0,E,4.0,2019-09-27 17:43:51.000,2019-09-27,2019-09-27 00:00:00,2019-10-12,,1440.0000000000002,0.0,0.0
322,322,F29736,2385.0,E,4.0,2019-10-02 09:45:58.000,2019-10-02,2019-10-02 00:00:00,2019-11-01,,23266.250000000004,0.0,0.0
341,341,F29755,3610.0,E,4.0,2019-10-03 10:19:47.000,2019-10-03,2019-09-25 00:00:00,2019-11-02,,1000.0,0.0,0.0
342,342,F29756,3610.0,E,4.0,2019-10-03 10:22:53.000,2019-10-03,2019-10-03 00:00:00,2019-11-02,,1500.0000000000002,0.0,0.0
348,348,F29764,1429.0,C,4.0,2019-10-03 15:02:51.000,2019-10-03,2019-10-03 00:00:00,2019-11-02,2019-10-04,1490.0000000000002,0.0,0.0
355,355,F29771,2385.0,E,4.0,2019-10-03 17:19:07.000,2019-10-03,2019-09-03 00:00:00,2019-11-02,,16000.000000000002,0.0,0.0
364,364,F29780,1429.0,E,4.0,2019-10-04 08:06:37.000,2019-10-04,2019-10-04 00:00:00,2019-11-03,,1490.0000000000002,0.0,0.0
365,365,F29781,3610.0,E,4.0,2019-10-04 08:21:26.000,2019-10-04,2019-09-25 00:00:00,2019-11-03,,400.00000000000006,0.0,0.0
371,371,F29787,6864.0,E,4.0,2019-10-04 10:46:18.000,2019-10-04,2019-10-04 00:00:00,2019-10-04,,2370.0,0.0,0.0
379,379,F29795,161.0,E,4.0,2019-10-04 12:28:52.000,2019-10-04,2019-09-26 00:00:00,2019-11-03,,1054.0,0.0,0.0
380,380,F29796,3545.0,E,4.0,2019-10-04 12:37:45.000,2019-10-04,2019-10-04 00:00:00,2019-10-19,,1236.0,0.0,0.0
391,391,F29807,3610.0,E,4.0,2019-10-04 16:12:45.000,2019-10-04,2019-09-25 00:00:00,2019-11-03,,5600.000000000001,0.0,0.0
396,396,F29812,3930.0,E,4.0,2019-10-07 10:01:06.000,2019-10-07,2019-10-01 00:00:00,2019-11-06,,72720.0,0.0,0.0
398,398,F29814,2385.0,E,4.0,2019-10-07 11:33:17.000,2019-10-07,2019-09-09 00:00:00,2019-11-06,,1200.0,0.0,0.0
416,416,F29832,4802.0,E,4.0,2019-10-08 15:38:13.000,2019-10-08,2019-10-08 00:00:00,2019-10-08,,48.00000000000001,0.0,0.0
437,437,F29853,6864.0,E,4.0,2019-10-10 08:47:45.000,2019-10-10,2019-10-04 00:00:00,2019-10-10,,2370.0,0.0,0.0
464,464,F29880,6253.0,E,4.0,2019-10-11 11:53:04.000,2019-10-11,2019-10-02 00:00:00,2019-10-19,,21400.0,0.0,0.0
477,477,F29893,2385.0,E,4.0,2019-10-14 10:33:35.000,2019-10-14,2019-10-07 00:00:00,2019-11-13,,1500.0000000000002,0.0,0.0
495,495,F29911,161.0,E,4.0,2019-10-15 16:21:57.000,2019-10-15,2019-10-09 00:00:00,2019-11-14,,1230.0,0.0,0.0
513,513,F29929,3930.0,E,4.0,2019-10-17 08:17:52.000,2019-10-17,2019-10-17 00:00:00,2019-11-16,,48480.00000000001,0.0,0.0
519,519,F29935,6059.0,E,4.0,2019-10-17 11:58:47.000,2019-10-17,2019-10-11 00:00:00,2019-10-17,,6556.050000000001,0.0,0.0
520,520,F29936,5478.0,E,4.0,2019-10-17 12:06:38.000,2019-10-17,2019-10-08 00:00:00,2019-11-16,,5000.0,0.0,0.0
528,528,F29944,1429.0,E,4.0,2019-10-17 16:47:46.000,2019-10-17,2019-10-17 00:00:00,2019-11-16,,8080.0,0.0,0.0
556,556,F29972,941.0,E,4.0,2019-10-21 16:58:49.000,2019-10-21,2019-10-21 00:00:00,2019-11-20,,2082.0,0.0,0.0
557,557,F29973,5478.0,E,4.0,2019-10-21 17:17:51.000,2019-10-21,2019-10-21 00:00:00,2019-11-20,,266.0,0.0,0.0
683,683,F30099,3930.0,E,4.0,2019-10-31 12:04:37.000,2019-10-31,2019-10-31 00:00:00,2019-11-30,,48480.00000000001,0.0,0.0
695,695,F30111,6864.0,E,4.0,2019-10-31 18:11:28.000,2019-10-31,2019-10-31 00:00:00,2019-10-31,,2121.931,0.0,0.0
807,807,F30223,161.0,E,4.0,2019-11-12 09:56:59.000,2019-11-12,2019-10-28 00:00:00,2019-12-12,,1230.0,0.0,0.0
821,821,F30237,3836.0,E,4.0,2019-11-12 14:11:40.000,2019-11-12,2019-10-14 00:00:00,2019-11-12,,4500.0,0.0,0.0
973,973,F30389,3545.0,E,4.0,2019-11-26 13:56:23.000,2019-11-26,2019-11-26 00:00:00,2019-12-11,,1236.0,0.0,0.0
974,974,F30390,3545.0,E,4.0,2019-11-26 13:57:51.000,2019-11-26,2019-11-26 00:00:00,2019-12-11,,2880.0000000000005,0.0,0.0
1081,1081,F30497,3930.0,E,4.0,2019-12-04 18:10:03.000,2019-12-04,2019-12-04 00:00:00,2020-01-03,,51450.00000000001,0.0,0.0
1177,1177,F30593,2385.0,E,4.0,2019-12-16 18:01:38.000,2019-12-16,2019-12-16 00:00:00,2019-12-16,,37327.0,0.0,0.0
1179,1179,F30595,2385.0,E,4.0,2019-12-17 09:21:21.000,2019-12-17,2019-10-07 00:00:00,2019-12-17,,1920.0,0.0,0.0
1366,1366,F30782,251.0,E,4.0,2020-01-14 10:28:15.000,2020-01-14,2020-01-16 00:00:00,2020-02-13,,3860.000000000001,0.0,0.0
